Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Descrição;Logradouro;Número;Complemento;Bairro;Cidade;UF;CEP;Latitude;Longitude
137;2019;2018;;04/10/2019;SANTA CATARINA;Matos Costa;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Matos Costa;SC;;-26.483.333;-51.155.556
137;2019;2018;;04/10/2019;SANTA CATARINA;Macieira;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Macieira;SC;;-26.856.944;-51.378.889
137;2019;2018;;04/10/2019;SANTA CATARINA;Lebon Régis;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Lebon Régis;SC;;-26.925.833;-50.679.167
137;2019;2018;;04/10/2019;SANTA CATARINA;LAURO MULLER;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Distrito de Barro Branco;LAURO MULLER;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Lages;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Dsitrito de Índios;Lages;SC;;-27.770.939;-50.253.033
137;2019;2018;;04/10/2019;SANTA CATARINA;Jaraguá do Sul;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Vila Lenzi;Jaraguá do Sul;SC;;-26.491.100;-49.095.720
137;2019;2018;;04/10/2019;SANTA CATARINA;Jaguaruna;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Próximo a Lagoa de Garopaba;;;;Jaguaruna;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Ituporanga;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Bela Vista;Ituporanga;SC;;-27.415.880;-49.566.225
137;2019;2018;;04/10/2019;SANTA CATARINA;Itapoá;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Estrada Secundária;;;;Itapoá;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Itapoá;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Loteamento Verdes;;;Balneário;Itapoá;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Itapiranga;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Zona Rural;Itapiranga;SC;;-27.144.828;-53.768.178
137;2019;2018;;04/10/2019;SANTA CATARINA;Itapema;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Morro do Encanto;;;;Itapema;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Itajaí;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Nossa Senhora das Graças;Itajaí;SC;;-26.920.369;-48.671.005
137;2019;2018;;04/10/2019;SANTA CATARINA;Irineópolis;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Colônia Batatais;Irineópolis;SC;;-26.248.843;-50.810.018
137;2019;2018;;04/10/2019;SANTA CATARINA;Indaial;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Polaquia;Indaial;SC;;-26.934.203;-49.201.142
137;2019;2018;;04/10/2019;SANTA CATARINA;Indaial;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Mulde;Indaial;SC;;-26.897.778;-49.231.667
137;2019;2018;;04/10/2019;SANTA CATARINA;Imbuia;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Campo Azul;Imbuia;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Içara;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Poço Oito;Içara;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Ibiam;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Ibiam;SC;;-27.180.556;-51.244.167
137;2019;2018;;04/10/2019;SANTA CATARINA;Ibiam;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Ibiam;SC;;-27.167.778;-51.239.722
137;2019;2018;;04/10/2019;SANTA CATARINA;Ibiam;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Ibiam;SC;;-27.167.500;-51.240.278
137;2019;2018;;04/10/2019;SANTA CATARINA;Guaramirim;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Próximo a SC 414;;;;Guaramirim;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Guaraciaba;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Linha Barra do Guaraciaba;;;;Guaraciaba;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Guabiruba;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Guabiruba Sul;Guabiruba;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Garuva;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Minas Velha;Garuva;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Garopaba;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Ambrósio;Garopaba;SC;;-28.036.042;-48.635.545
137;2019;2018;;04/10/2019;SANTA CATARINA;Galvão;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Rua Tiradentes;;;Área rural;Galvão;SC;;-26.467.475;-52.686.919
137;2019;2018;;04/10/2019;SANTA CATARINA;Fraiburgo;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Linha FB 010, Interior.;;área anexa ao aterro;;Fraiburgo;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Doutor Pedrinho;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Ribeirão Lima;Doutor Pedrinho;SC;;-26.867.716;-49.272.243
137;2019;2018;;04/10/2019;SANTA CATARINA;Água Doce;SC;Área degradada por disposição irregular de RSU (lixão desativado).;SC - 150, Linha Nova Vicenza;;;;Água Doce;SC;;-27.036.842;-51.552.746
137;2019;2018;;04/10/2019;SANTA CATARINA;Anchieta;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Interior do Município;;;;Anchieta;SC;;-26.543.624;-53.330.970
137;2019;2018;;04/10/2019;SANTA CATARINA;Caçador;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Sem informação;;;;Caçador;SC;;-26.816.944;-51.039.167
137;2019;2018;;04/10/2019;SANTA CATARINA;Braço do Trombudo;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Serril;Braço do Trombudo;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Braço do Norte;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Estrada Geral Uruguaia;;;Uruguaia;Braço do Norte;SC;;-28.251.915;-49.146.919
137;2019;2018;;04/10/2019;SANTA CATARINA;Bom Retiro;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Capistrano;Bom Retiro;SC;;-27.801.508;-49.506.172
137;2019;2018;;04/10/2019;SANTA CATARINA;Blumenau;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Rua Engenheiro Udo Deeke;;;Salto;Blumenau;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Benedito Novo;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Rodovia Municipal BNV-468;;;;Benedito Novo;SC;;-26.825.072;-49.383.441
137;2019;2018;;04/10/2019;SANTA CATARINA;Atalanta;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Alto Serrinha;;;;Atalanta;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Arroio Trinta;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Sem informação;;;;Arroio Trinta;SC;;-26.926.111;-51.354.444
137;2019;2018;;04/10/2019;SANTA CATARINA;Araranguá;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Próximo a BR-102;;;;Araranguá;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Dionísio Cerqueira;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Linha Presidente Vargas;;;;Dionísio Cerqueira;SC;;-26.297.486;-53.651.769
137;2019;2018;;04/10/2019;SANTA CATARINA;Dionísio Cerqueira;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Aeroporto;Dionísio Cerqueira;SC;;-26.282.828;-53.633.428
