Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Descritivo/Detalhamento;Link do Estudo de Regionalização;Município
137;2019;2018;;04/10/2019;SANTA CATARINA;Benedito Novo;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Benedito Novo
137;2019;2018;;04/10/2019;SANTA CATARINA;Blumenau;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Blumenau
137;2019;2018;;04/10/2019;SANTA CATARINA;Botuverá;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Botuverá
137;2019;2018;;04/10/2019;SANTA CATARINA;Brusque;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Brusque
137;2019;2018;;04/10/2019;SANTA CATARINA;Doutor Pedrinho;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Doutor Pedrinho
137;2019;2018;;04/10/2019;SANTA CATARINA;Gaspar;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Gaspar
137;2019;2018;;04/10/2019;SANTA CATARINA;Guabiruba;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Guabiruba
137;2019;2018;;04/10/2019;SANTA CATARINA;Indaial;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Indaial
137;2019;2018;;04/10/2019;SANTA CATARINA;Pomerode;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Pomerode
137;2019;2018;;04/10/2019;SANTA CATARINA;Rio dos Cedros;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Rio dos Cedros
137;2019;2018;;04/10/2019;SANTA CATARINA;Rodeio;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Rodeio
137;2019;2018;;04/10/2019;SANTA CATARINA;Timbó;SC;Região de Blumenau;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Timbó
137;2019;2018;;04/10/2019;SANTA CATARINA;Bom Jardim da Serra;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Bom Jardim da Serra
137;2019;2018;;04/10/2019;SANTA CATARINA;Braço do Norte;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Braço do Norte
137;2019;2018;;04/10/2019;SANTA CATARINA;Cocal do Sul;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Cocal do Sul
137;2019;2018;;04/10/2019;SANTA CATARINA;Grão Pará;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Grão Pará
137;2019;2018;;04/10/2019;SANTA CATARINA;LAURO MULLER;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;LAURO MULLER
137;2019;2018;;04/10/2019;SANTA CATARINA;Morro da Fumaça;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Morro da Fumaça
137;2019;2018;;04/10/2019;SANTA CATARINA;Orleans;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Orleans
137;2019;2018;;04/10/2019;SANTA CATARINA;Pedras Grandes;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Pedras Grandes
137;2019;2018;;04/10/2019;SANTA CATARINA;Rio Fortuna;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Rio Fortuna
137;2019;2018;;04/10/2019;SANTA CATARINA;Santa Rosa de Lima;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Santa Rosa de Lima
137;2019;2018;;04/10/2019;SANTA CATARINA;São Ludgero;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;São Ludgero
137;2019;2018;;04/10/2019;SANTA CATARINA;Siderópolis;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Siderópolis
